source_id,Mass_BH,Mass_BH_lower,Mass_BH_upper,Mass_1,Mass_1_lower,Mass_1_upper,logP,logP_lower,logP_upper,plating
5909671898885981568,10.553022936359085,2.9997535662755443,13.987784618668648,1.3914489894034567,0.29041906866448264,6.314687232266616,1.4403317093878867,1.0738681751824455,1.5603142114661424,bronze
5912127520668348032,3.7865252598901487,2.384103574179607,5.693392186864226,1.2642608026920519,0.5165097571497724,2.945577775571656,1.4643254971375206,1.1091486242195971,1.5878665210237788,bronze
5914140902563212800,3.580727321504232,2.435044031911524,5.573820282243401,1.2014297366725375,0.5117490863391136,2.6813244075701026,2.686943699885743,2.359841087411615,2.820250050499303,bronze
5914817548897547136,3.371339264780689,2.247025780531851,4.832726113131614,2.002293368181719,0.9111939841783956,4.214820650887847,1.3976235767983367,1.0409405767023359,1.5207914349053868,bronze
5915088544151232768,6.5501763464341565,2.01028218791866,8.646731062874526,1.0664603499614789,0.24125646581528906,4.463430894558174,0.644506360496594,0.28485977521201944,0.7674269593357756,bronze
5916849068432284672,3.380752395509399,2.4420663090593417,5.16593646963753,1.6061548147392561,0.7435655792193584,3.327380714391659,1.398082986676561,1.0255001156094818,1.5162408793209667,bronze
5918426313545189504,3.087902811896809,1.2765302306227566,3.957364288878002,1.044240039315258,0.3295506992616194,3.167175213509155,0.9856505972534139,0.6538307748473849,1.1153488547852901,bronze
5921876958987159680,3.3133797984018933,2.1683751910685105,4.865340986606044,1.4905848208585464,0.6494748497613619,3.269791382059875,2.321487898910217,1.9571198251824646,2.4399513883389283,bronze
5922259490267552512,3.949697132762966,2.59529706366486,5.815636320079356,1.786230357679551,0.7794450063254411,3.9138647026599447,1.6367870128801758,1.300608410736261,1.7660942055332773,bronze
5923677722853614976,3.561332489696654,2.3431104984224764,5.236567133728941,1.636305605705629,0.7180203518699221,3.5862830673893895,1.292268916270454,0.945140254596488,1.418199177440515,bronze
5923738883191558656,3.342052308820885,2.152619953320178,4.926715982897545,1.4330523641963442,0.6132126967276846,3.2121178334484335,1.9829851246672539,1.6261953300121184,2.1050904020100205,bronze
5924778192222348032,3.089300042114308,2.0783120763811,4.446443112949301,1.7955227335075836,0.8214295769263227,3.7598826883005105,1.4876373053556446,1.1452891078942307,1.6162463282085486,bronze
5925735596284066432,3.619445734098498,2.5374599901059707,5.444338123065164,1.7974196969708855,0.8191552829382021,3.7710128214927647,1.52193846425046,1.1555054611732896,1.6424124636255097,bronze
5926808238600101888,3.12645665366656,2.2020210021155253,4.593752750562726,1.868297829328135,0.8770976994869017,3.8171593585966006,1.6670945161272026,1.3034388222127775,1.787254562870015,bronze
5929106076142809984,3.333737455434349,2.324898469463776,5.095123940036873,1.4301913963140338,0.6370807831493637,3.059821047348655,2.051501952996186,1.6786943174503162,2.1676345917365505,bronze
5929226781903758464,6.242916845625063,2.598828120304145,8.04425033866274,2.137315640654112,0.6734462615607884,6.452365889558881,1.7797384444264919,1.4417622146715994,1.9088409199952199,bronze
5929910029651391744,4.14645059899092,2.688637318009309,6.264263219519828,1.4942238390511533,0.6268219566643675,3.4026693761084372,1.6075912183189758,1.2561084787375054,1.7330984137697585,bronze
5930093025290015616,3.7962965010374856,2.419739110469897,5.717382655187301,1.3294824515324875,0.5496124913381575,3.0684144979141075,1.2530214340814285,0.891685120764576,1.3749651461524817,bronze
5937013488890186752,3.64287098552195,2.4668836067516944,5.326390951441741,1.8924223217533993,0.8613533300664334,4.015596797565394,1.8903133565176677,1.5272027861088746,2.011030899623151,bronze
5945020716684721408,4.528163836647351,2.8507007816174816,6.8804979591084034,1.4267426504434908,0.5767465075520389,3.359862035213218,1.0678765477347052,0.7037840519301117,1.1883475964607522,bronze
5945532406214007936,3.2207846667852555,2.3133974168427174,4.869505005295744,1.6283474047963489,0.757254092726473,3.3551409507946084,1.7332638996081435,1.3636016828002315,1.851387264447387,bronze
5947075295905846912,5.028076369269349,1.989290286230509,6.4951842675546105,1.4908308666465588,0.4436861099333573,4.730014388868245,2.543325582116439,2.1890442217439685,2.6683831941915783,bronze
5948304476880144256,4.307551236506477,1.884012412844005,5.446615819265082,1.8286466956519116,0.6191373269689974,5.174554368505575,1.4996721033972764,1.135068321083033,1.6204231275459275,bronze
5949827098647185408,3.48210882570827,2.446185513214052,5.1844304639085,1.8369186294919095,0.8509373562231015,3.822266091399345,1.4003411161150987,1.0286203933490279,1.5175856310766478,bronze
5950012847394987776,3.8601936060571314,2.502656938477835,5.661089817442896,1.7428903272041658,0.7530598327714786,3.8532477374987884,1.4940739002835082,1.1479366938292253,1.6197052341455074,bronze
5951699253385496064,3.4289499042095457,2.4075811550593094,5.219601125539053,1.530195227173441,0.6927091264577333,3.255844623230538,1.7347949295546456,1.4021362144262242,1.863976386731298,bronze
5954932337298304896,3.945140816552336,1.6691916789792745,5.03173847766632,1.4755631723196445,0.479453980470509,4.356830135355664,2.24015676431435,1.8798162568625898,2.3612082304865702,bronze
5955515731309491456,3.18723143838182,1.803155909535392,4.072413645463071,2.546987840592244,1.1048913011069377,5.635815449047257,2.634677281326224,2.291311889380432,2.760699182830758,bronze
5956793020229221120,3.394396565745041,2.2076664442622507,5.088612927201319,1.2804032329867654,0.5442249679897181,2.8914146897296247,2.2422256994000582,1.8775970673358913,2.362447839318698,bronze
5986487118434868096,3.5043644329918084,2.3463809975902805,5.140120237254421,1.7630967515940013,0.7883563611216557,3.783311206214999,2.341191804184809,2.002617696879381,2.4704003606209537,bronze
5988393774668547456,3.2931993149149053,2.364811133791386,4.838803965365765,2.0931249317207117,1.0034498565359438,4.201252734099718,1.9065453677629396,1.54157159503244,2.0274602293455968,bronze
5989566987923175424,3.626648109477349,2.5475477703983693,5.447690264750933,1.7921211554236742,0.8205380522544726,3.752138560303551,1.9787643854521457,1.6388367941594726,2.1074301267969777,bronze
6000945696306703488,4.277140350067265,2.6712336959744434,6.607468262420934,1.1291768369838702,0.4460310860445077,2.7290502379279697,1.9682260485385759,1.6043159003543508,2.0878924924137268,bronze
6001462054466860800,3.284442517534812,2.1895742946099404,4.645855447255685,2.1097481064553416,0.9758692638400872,4.393429417573823,2.3023375241917687,1.9577867643089697,2.428682124445574,bronze
6004655238075031424,5.642990561780843,1.7506148856130046,7.274999191425833,1.0991109999238518,0.2573108317784817,4.443679556787918,0.8273902831591038,0.4819037967019161,0.9537693599648763,bronze
